grdc_no,lat,long,area,altitude,
1160773,-30.86013889,29.07125,6906,-999,
1160774,-30.77586667,29.03221667,3059,-999,
1160775,-30.570556,29.15,2483,1354,
1160777,-31.3955,29.26508333,19273,-999,
1160780,-31.495833,29.528611,108,177,
1160785,-30.568333,29.422222,1034,1254,
1160788,-29.71511,30.86917,4084,-999,
1160790,-29.161667,30.629722,316,958,
1160793,-29.008889,30.788611,51,1118,
1160795,-29.533611,31.089167,243,75,
1160798,-29.603056,31.016389,358,97,
1160800,-27.435833,29.975833,683,1609,
1160810,-28.309722,30.147778,312,1040,
1160815,-28.404722,30.012778,658,1078,
1160820,-27.849722,29.840556,129,1328,
1160825,-27.896667,29.953056,150,1196,
1160830,-27.923056,29.949167,857,1245,
1160840,-29.066667,29.748056,119,1260,
1160842,-29.00525,29.88263889,196,-999,
1160850,-28.059167,30.373333,5887,1136,
1160851,-27.6025,29.9425,1533,1218,
1160880,-29.140278,31.3925,28920,38,
1160881,-28.735833,29.820833,4154,960,
1160882,-28.721667,29.375556,1869,1117,
1160883,-28.75002778,30.44222222,12862,-999,
1160884,-28.737778,29.352222,1666,851,
1160885,-28.818056,29.545,779,1018,
1160890,-28.723889,29.351389,161,1120,
1160891,-28.508056,29.348056,21,1197,
1160892,-28.892222,29.770278,196,1040,
1160893,-28.673056,29.085556,52,1220,
1160894,-28.8125,29.310556,434,1139,
1160895,-28.796111,29.302778,441,1128,
1160900,-27.8975,30.883611,440,1009,
1160910,-28.309167,31.902222,3484,59,
1160911,-28.069444,31.549444,1659,236,
1160913,-27.93863889,31.20944444,324,-999,
1160915,-28.33936111,31.37383333,3939,-999,
1160919,-28.44563889,32.32513889,9099,-999,
1160920,-28.331389,32.361111,47,17,
1160930,-27.660278,32.4225,5068,20,
1160940,-34.25166667,20.99194444,790,-999,
1160950,-34.002778,20.656111,440,107,
1160955,-33.910556,20.713056,10,355,
1160957,-34.020278,20.535556,25,90,
1160960,-34.0925,21.294167,229,93,
1160965,-34.015,21.289167,50,211,
1160970,-28.872778,31.457222,20,481,
1160971,-29.010278,31.459167,448,94,
1160974,-28.872778,31.457222,20,480,
1160975,-28.748056,31.745556,2428,54,
1160979,-28.80127778,31.95538889,2678,-999,
1160981,-30.32827778,30.32897222,133,-999,
1160983,-30.39922222,30.60077778,213,-999,
1160985,-30.27402778,30.69602778,378.8,-999,
1196100,-24.331111,30.741389,42714,437,
1196101,-24.268056,29.801111,31627,725,
1196102,-24.926389,29.389444,16622,832,
1196103,-25.809167,29.319444,3957,1420,
1196104,-25.57877778,29.12747222,4293,-999,
1196105,-24.95861111,29.39527778,16447,-999,
1196106,-24.92647222,29.32338889,6119,-999,
1196110,-25.818889,29.3375,247,1434,
1196120,-25.7925,28.755,1599,1379,
1196130,-25.646944,28.390278,126,1220,
1196140,-24.009167,30.672222,841,491,
1196141,-24.12263,30.358379,85,667,
1196142,-24.123889,30.355278,84,678,
1196150,-24.035,30.433333,323,560,
1196160,-24.556111,31.032222,136,568,
1196170,-24.911944,30.103056,445,894,
1196175,-25.02911111,29.85580556,2249,-999,
1196180,-25.035833,30.219167,189,1478,
1196190,-24.686944,30.813611,94,1153,
1196200,-23.526667,31.403333,441,318,
1196205,-23.216284,31.22354527,810,-999,
1196210,-22.837778,31.237222,696,354,
