Date,ET [kg/m^2/8day]
2011-01-02,112.78029203973304
2011-01-03,115.99248318306486
2011-01-04,119.20467432639668
2011-01-05,122.41686546972849
2011-01-06,125.62905661306033
2011-01-07,128.84124775639214
2011-01-08,132.05343889972397
2011-01-09,135.26563004305578
2011-01-10,135.81044229944487
2011-01-11,136.355254555834
2011-01-12,136.9000668122231
2011-01-13,137.44487906861218
2011-01-14,137.9896913250013
2011-01-15,138.5345035813904
2011-01-16,139.07931583777952
2011-01-17,139.6241280941686
2011-01-18,138.32618430308824
2011-01-19,137.02824051200787
2011-01-20,135.7302967209275
2011-01-21,134.43235292984713
2011-01-22,133.13440913876678
2011-01-23,131.8364653476864
2011-01-24,130.53852155660604
2011-01-25,129.24057776552567
2011-01-26,127.97992737093023
2011-01-27,126.7192769763348
2011-01-28,125.45862658173935
2011-01-29,124.19797618714392
2011-01-30,122.93732579254848
2011-01-31,121.67667539795303
2011-02-01,120.4160250033576
2011-02-02,119.15537460876216
2011-02-03,117.36934935115498
2011-02-04,115.58332409354779
2011-02-05,113.79729883594061
2011-02-06,112.01127357833343
2011-02-07,110.22524832072624
2011-02-08,108.43922306311906
2011-02-09,106.65319780551187
2011-02-10,104.86717254790469
2011-02-11,103.87978012756778
2011-02-12,102.89238770723088
2011-02-13,101.90499528689396
2011-02-14,100.91760286655706
2011-02-15,99.93021044622016
2011-02-16,98.94281802588324
2011-02-17,97.95542560554634
2011-02-18,96.96803318520944
2011-02-19,96.90486401498055
2011-02-20,96.84169484475167
2011-02-21,96.7785256745228
2011-02-22,96.71535650429391
2011-02-23,96.65218733406502
2011-02-24,96.58901816383614
2011-02-25,96.52584899360727
2011-02-26,96.46267982337838
2011-02-27,96.56599639612352
2011-02-28,96.66931296886867
2011-03-01,96.77262954161381
2011-03-02,96.87594611435895
2011-03-03,96.9792626871041
2011-03-04,97.08257925984924
2011-03-05,97.18589583259438
2011-03-06,97.28921240533953
2011-03-07,95.46747199322172
2011-03-08,93.64573158110392
2011-03-09,91.82399116898613
2011-03-10,90.00225075686832
2011-03-11,88.18051034475052
2011-03-12,86.35876993263273
2011-03-13,84.53702952051492
2011-03-14,82.71528910839712
2011-03-15,82.67484544666618
2011-03-16,82.63440178493525
2011-03-17,82.59395812320433
2011-03-18,82.5535144614734
2011-03-19,82.51307079974247
2011-03-20,82.47262713801155
2011-03-21,82.43218347628061
2011-03-22,82.39173981454968
2011-03-23,82.40129719681708
2011-03-24,82.41085457908449
2011-03-25,82.42041196135189
2011-03-26,82.42996934361929
2011-03-27,82.4395267258867
2011-03-28,82.4490841081541
2011-03-29,82.4586414904215
2011-03-30,82.4681988726889
2011-03-31,81.51195118277928
2011-04-01,80.55570349286967
2011-04-02,79.59945580296005
2011-04-03,78.64320811305043
2011-04-04,77.68696042314083
2011-04-05,76.73071273323121
2011-04-06,75.7744650433216
2011-04-07,74.81821735341198
2011-04-08,74.65679818786832
2011-04-09,74.49537902232464
2011-04-10,74.33395985678098
2011-04-11,74.17254069123732
2011-04-12,74.01112152569365
2011-04-13,73.84970236014999
2011-04-14,73.68828319460631
2011-04-15,73.52686402906265
2011-04-16,73.55036619591286
2011-04-17,73.57386836276305
2011-04-18,73.59737052961326
2011-04-19,73.62087269646346
2011-04-20,73.64437486331366
2011-04-21,73.66787703016387
2011-04-22,73.69137919701406
2011-04-23,73.71488136386427
2011-04-24,73.11801985205959
2011-04-25,72.52115834025493
2011-04-26,71.92429682845025
2011-04-27,71.32743531664559
2011-04-28,70.73057380484092
2011-04-29,70.13371229303624
2011-04-30,69.53685078123158
2011-05-01,68.9399892694269
2011-05-02,69.32132162268717
2011-05-03,69.70265397594744
2011-05-04,70.0839863292077
2011-05-05,70.46531868246797
2011-05-06,70.84665103572823
2011-05-07,71.22798338898849
2011-05-08,71.60931574224877
2011-05-09,71.99064809550903
2011-05-10,71.53780694816088
2011-05-11,71.08496580081271
2011-05-12,70.63212465346456
2011-05-13,70.17928350611639
2011-05-14,69.72644235876824
2011-05-15,69.27360121142007
2011-05-16,68.82076006407192
2011-05-17,68.36791891672377
2011-05-18,67.9150777693756
2011-05-19,67.46223662202745
2011-05-20,67.00939547467928
2011-05-21,66.55655432733113
2011-05-22,66.10371317998296
2011-05-23,65.65087203263481
2011-05-24,65.19803088528664
2011-05-25,64.74518973793849
2011-05-26,64.29234859059034
2011-05-27,63.83950744324217
2011-05-28,63.38666629589402
2011-05-29,62.93382514854586
2011-05-30,62.4809840011977
2011-05-31,62.02814285384954
2011-06-01,61.57530170650138
2011-06-02,61.12246055915322
2011-06-03,60.66961941180506
2011-06-04,60.216778264456906
2011-06-05,59.76393711710874
2011-06-06,59.311095969760586
2011-06-07,58.85825482241243
2011-06-08,58.40541367506427
2011-06-09,57.95257252771611
2011-06-10,57.49973138036795
2011-06-11,57.046890233019795
2011-06-12,56.59404908567163
2011-06-13,56.141207938323475
2011-06-14,55.688366790975316
2011-06-15,55.235525643627156
2011-06-16,54.782684496278996
2011-06-17,54.32984334893084
2011-06-18,53.877002201582684
2011-06-19,53.42416105423452
2011-06-20,52.971319906886364
2011-06-21,52.5184787595382
2011-06-22,52.065637612190045
2011-06-23,51.612796464841885
2011-06-24,51.159955317493726
2011-06-25,50.707114170145566
2011-06-26,50.254273022797406
2011-06-27,49.80143187544925
2011-06-28,49.34859072810109
2011-06-29,48.895749580752934
2011-06-30,48.442908433404774
2011-07-01,47.990067286056615
2011-07-02,47.537226138708455
2011-07-03,47.084384991360295
2011-07-04,46.63154384401214
2011-07-05,46.178702696663976
2011-07-06,45.72586154931582
2011-07-07,45.27302040196766
2011-07-08,44.820179254619504
2011-07-09,44.367338107271344
2011-07-10,43.914496959923184
2011-07-11,43.46165581257503
2011-07-12,43.008814665226865
2011-07-13,42.55597351787871
2011-07-14,42.10313237053055
2011-07-15,41.65029122318239
2011-07-16,41.19745007583423
2011-07-17,40.74460892848607
2011-07-18,40.29176778113792
2011-07-19,39.838926633789754
2011-07-20,39.3860854864416
2011-07-21,38.93324433909344
2011-07-22,38.48040319174528
2011-07-23,38.02756204439712
2011-07-24,37.57472089704896
2011-07-25,37.1218797497008
2011-07-26,36.66903860235264
2011-07-27,36.21619745500448
2011-07-28,35.76335630765633
2011-07-29,35.31051516030817
2011-07-30,34.85767401296001
2011-07-31,34.40483286561185
2011-08-01,33.95199171826369
2011-08-02,33.49915057091553
2011-08-03,33.04630942356737
2011-08-04,32.59346827621922
2011-08-05,32.14062712887106
2011-08-06,33.179784217613815
2011-08-07,34.21894130635657
2011-08-08,35.258098395099324
2011-08-09,36.29725548384208
2011-08-10,37.33641257258483
2011-08-11,38.37556966132758
2011-08-12,39.414726750070336
2011-08-13,40.45388383881309
2011-08-14,42.25646879340347
2011-08-15,44.05905374799386
2011-08-16,45.86163870258424
2011-08-17,47.66422365717462
2011-08-18,49.466808611765
2011-08-19,51.26939356635538
2011-08-20,53.07197852094576
2011-08-21,54.87456347553615
2011-08-22,56.11323031084477
2011-08-23,57.35189714615339
2011-08-24,58.59056398146202
2011-08-25,59.82923081677064
2011-08-26,61.06789765207926
2011-08-27,62.30656448738789
2011-08-28,63.54523132269651
2011-08-29,64.78389815800513
2011-08-30,66.88694285755959
2011-08-31,68.98998755711405
2011-09-01,71.09303225666851
2011-09-02,73.19607695622295
2011-09-03,75.29912165577741
2011-09-04,77.40216635533187
2011-09-05,79.50521105488633
2011-09-06,81.60825575444079
2011-09-07,81.86048952503114
2011-09-08,82.11272329562148
2011-09-09,82.36495706621182
2011-09-10,82.61719083680217
2011-09-11,82.86942460739252
2011-09-12,83.12165837798285
2011-09-13,83.37389214857319
2011-09-14,83.62612591916354
2011-09-15,85.03099612933218
2011-09-16,86.43586633950082
2011-09-17,87.84073654966947
2011-09-18,89.24560675983811
2011-09-19,90.65047697000675
2011-09-20,92.0553471801754
2011-09-21,93.46021739034404
2011-09-22,94.86508760051268
2011-09-23,95.84325216643417
2011-09-24,96.82141673235567
2011-09-25,97.79958129827716
2011-09-26,98.77774586419866
2011-09-27,99.75591043012015
2011-09-28,100.73407499604164
2011-09-29,101.71223956196314
2011-09-30,102.69040412788463
2011-10-01,103.5851931015241
2011-10-02,104.47998207516356
2011-10-03,105.37477104880303
2011-10-04,106.2695600224425
2011-10-05,107.16434899608197
2011-10-06,108.05913796972143
2011-10-07,108.9539269433609
2011-10-08,109.84871591700036
2011-10-09,111.02374304402579
2011-10-10,112.19877017105122
2011-10-11,113.37379729807665
2011-10-12,114.54882442510208
2011-10-13,115.72385155212753
2011-10-14,116.89887867915296
2011-10-15,118.07390580617839
2011-10-16,119.24893293320382
2011-10-17,120.78805001064106
2011-10-18,122.32716708807831
2011-10-19,123.86628416551555
2011-10-20,125.40540124295279
2011-10-21,126.94451832039005
2011-10-22,128.4836353978273
2011-10-23,130.02275247526453
2011-10-24,131.56186955270178
2011-10-25,129.24462932787787
2011-10-26,126.92738910305397
2011-10-27,124.61014887823006
2011-10-28,122.29290865340616
2011-10-29,119.97566842858224
2011-10-30,117.65842820375833
2011-10-31,115.34118797893443
2011-11-01,113.02394775411052
2011-11-02,116.11262365372143
2011-11-03,119.20129955333233
2011-11-04,122.28997545294324
2011-11-05,125.37865135255416
2011-11-06,128.46732725216506
2011-11-07,131.55600315177597
2011-11-08,134.64467905138687
2011-11-09,137.73335495099778
2011-11-10,135.12130237446635
2011-11-11,132.50924979793493
2011-11-12,129.8971972214035
2011-11-13,127.28514464487208
2011-11-14,124.67309206834064
2011-11-15,122.06103949180921
2011-11-16,119.44898691527779
2011-11-17,116.83693433874636
2011-11-18,119.45342895184346
2011-11-19,122.06992356494055
2011-11-20,124.68641817803766
2011-11-21,127.30291279113476
2011-11-22,129.91940740423186
2011-11-23,132.53590201732894
2011-11-24,135.15239663042604
2011-11-25,137.76889124352314
2011-11-26,136.7072612324052
2011-11-27,135.64563122128723
2011-11-28,134.58400121016928
2011-11-29,133.52237119905132
2011-11-30,132.46074118793337
2011-12-01,131.3991111768154
2011-12-02,130.33748116569745
2011-12-03,129.2758511545795
2011-12-04,128.41323406555694
2011-12-05,127.55061697653439
2011-12-06,126.68799988751184
2011-12-07,125.82538279848927
2011-12-08,124.96276570946672
2011-12-09,124.10014862044417
2011-12-10,123.23753153142161
2011-12-11,122.37491444239906
2011-12-12,122.38254200871606
2011-12-13,122.39016957503304
2011-12-14,122.39779714135004
2011-12-15,122.40542470766704
2011-12-16,122.41305227398402
2011-12-17,122.42067984030102
2011-12-18,122.428307406618
2011-12-19,122.435934972935
2011-12-20,118.94405055866284
2011-12-21,115.45216614439066
2011-12-22,111.96028173011848
2011-12-23,108.46839731584632
