Date,Daily Average LST [C]
2014-10-27,3.7078972776894785
2014-10-28,3.930744964588203
2014-10-29,4.153592651486926
2014-10-30,4.376440338385651
2014-10-31,4.599288025284375
2014-11-01,4.822135712183099
2014-11-02,4.8476464445983805
2014-11-03,4.873157177013662
2014-11-04,4.898667909428944
2014-11-05,4.924178641844225
2014-11-06,4.949689374259506
2014-11-07,4.975200106674788
2014-11-08,5.00071083909007
2014-11-09,5.026221571505351
2014-11-10,5.2469367011234755
2014-11-11,5.4676518307416
2014-11-12,5.688366960359725
2014-11-13,5.90908208997785
2014-11-14,6.129797219595974
2014-11-15,6.3505123492141
2014-11-16,6.571227478832224
2014-11-17,6.7919426084503485
2014-11-18,6.7705878222092455
2014-11-19,6.749233035968143
2014-11-20,6.727878249727041
2014-11-21,6.706523463485938
2014-11-22,6.685168677244835
2014-11-23,6.663813891003733
2014-11-24,6.642459104762631
2014-11-25,6.621104318521528
2014-11-26,6.7878315669564095
2014-11-27,6.954558815391291
2014-11-28,7.121286063826173
2014-11-29,7.288013312261055
2014-11-30,7.454740560695936
2014-12-01,7.621467809130818
2014-12-02,7.7881950575657
2014-12-03,7.954922306000581
2014-12-04,8.330580404094706
2014-12-05,8.706238502188828
2014-12-06,9.081896600282953
2014-12-07,9.457554698377077
2014-12-08,9.8332127964712
2014-12-09,10.208870894565324
2014-12-10,10.584528992659447
2014-12-11,10.960187090753571
2014-12-12,10.566213218363076
2014-12-13,10.172239345972583
2014-12-14,9.778265473582088
2014-12-15,9.384291601191595
2014-12-16,8.9903177288011
2014-12-17,8.596343856410606
2014-12-18,8.202369984020113
2014-12-19,7.808396111629618
2014-12-20,7.207882491480833
2014-12-21,6.607368871332047
2014-12-22,6.006855251183262
2014-12-23,5.406341631034476
2014-12-24,4.805828010885691
2014-12-25,4.2053143907369055
2014-12-26,3.6048007705881195
2014-12-27,3.0042871504393345
2014-12-28,4.346195051579333
2014-12-29,5.68810295271933
2014-12-30,7.030010853859328
2014-12-31,8.371918754999324
2015-01-01,9.713826656139323
2015-01-02,9.643294462088278
2015-01-03,9.572762268037232
2015-01-04,9.502230073986187
2015-01-05,9.431697879935141
2015-01-06,9.361165685884096
2015-01-07,9.29063349183305
2015-01-08,9.220101297782005
2015-01-09,9.14956910373096
2015-01-10,9.828690195226987
2015-01-11,10.507811286723012
2015-01-12,11.186932378219037
2015-01-13,11.866053469715064
2015-01-14,12.545174561211091
2015-01-15,13.224295652707116
2015-01-16,13.903416744203142
2015-01-17,14.582537835699169
2015-01-18,14.214033668650147
2015-01-19,13.845529501601126
2015-01-20,13.477025334552104
2015-01-21,13.108521167503081
2015-01-22,12.74001700045406
2015-01-23,12.371512833405038
2015-01-24,12.003008666356017
2015-01-25,11.634504499306995
2015-01-26,11.799562616811393
2015-01-27,11.964620734315789
2015-01-28,12.129678851820184
2015-01-29,12.294736969324582
2015-01-30,12.45979508682898
2015-01-31,12.624853204333375
2015-02-01,12.78991132183777
2015-02-02,12.954969439342168
2015-02-03,12.46728575987417
2015-02-04,11.979602080406169
2015-02-05,11.49191840093817
2015-02-06,11.00423472147017
2015-02-07,10.51655104200217
2015-02-08,10.028867362534172
2015-02-09,9.541183683066173
2015-02-10,9.053500003598172
2015-02-11,9.183735241739972
2015-02-12,9.313970479881771
2015-02-13,9.444205718023571
2015-02-14,9.574440956165372
2015-02-15,9.704676194307172
2015-02-16,9.834911432448973
2015-02-17,9.965146670590771
2015-02-18,10.095381908732572
2015-02-19,10.247742566940067
2015-02-20,10.400103225147562
2015-02-21,10.552463883355058
2015-02-22,10.704824541562553
2015-02-23,10.857185199770049
2015-02-24,11.009545857977544
2015-02-25,11.16190651618504
2015-02-26,11.314267174392535
2015-02-27,10.692670858675193
2015-02-28,10.071074542957849
2015-03-01,9.449478227240506
2015-03-02,8.827881911523164
2015-03-03,8.20628559580582
2015-03-04,7.584689280088478
2015-03-05,6.963092964371135
2015-03-06,6.341496648653791
2015-03-07,6.169495772446789
2015-03-08,5.997494896239787
2015-03-09,5.825494020032785
2015-03-10,5.6534931438257825
2015-03-11,5.48149226761878
2015-03-12,5.309491391411778
2015-03-13,5.137490515204776
2015-03-14,4.965489638997774
2015-03-15,5.541446901998427
2015-03-16,6.11740416499908
2015-03-17,6.693361427999734
2015-03-18,7.269318691000387
2015-03-19,7.84527595400104
2015-03-20,8.421233217001694
2015-03-21,8.997190480002347
2015-03-22,9.573147743003
2015-03-23,8.735441537313548
2015-03-24,7.897735331624095
2015-03-25,7.060029125934643
2015-03-26,6.22232292024519
2015-03-27,5.384616714555738
2015-03-28,4.5469105088662864
2015-03-29,3.7092043031768336
2015-03-30,2.8714980974873816
2015-03-31,2.9909791912257804
2015-04-01,3.1104602849641787
2015-04-02,3.229941378702577
2015-04-03,3.349422472440976
2015-04-04,3.4689035661793746
2015-04-05,3.588384659917773
2015-04-06,3.707865753656171
2015-04-07,3.82734684739457
2015-04-08,3.684230299593627
2015-04-09,3.5411137517926843
2015-04-10,3.397997203991741
2015-04-11,3.254880656190798
2015-04-12,3.1117641083898553
2015-04-13,2.968647560588912
2015-04-14,2.825531012787969
2015-04-15,2.6824144649870263
2015-04-16,2.6578302965619565
2015-04-17,2.633246128136886
2015-04-18,2.6086619597118164
2015-04-19,2.584077791286746
2015-04-20,2.5594936228616763
2015-04-21,2.5349094544366064
2015-04-22,2.510325286011536
2015-04-23,2.4857411175864663
2015-04-24,2.25132125651253
2015-04-25,2.0169013954385933
2015-04-26,1.782481534364657
2015-04-27,1.5480616732907204
2015-04-28,1.3136418122167839
2015-04-29,1.0792219511428476
2015-04-30,0.844802090068911
2015-05-01,0.6103822289949745
2015-05-02,0.7494774732401522
2015-05-03,0.88857271748533
2015-05-04,1.0276679617305078
2015-05-05,1.1667632059756854
2015-05-06,1.3058584502208632
2015-05-07,1.444953694466041
2015-05-08,1.5840489387112187
2015-05-09,1.7231441829563965
2015-05-10,1.3654361221610598
2015-05-11,1.007728061365723
2015-05-12,0.6500200005703862
2015-05-13,0.2923119397750493
2015-05-14,-0.06539612102028758
2015-05-15,-0.42310418181562404
2015-05-16,-0.7808122426109609
2015-05-17,-1.138520303406298
2015-05-18,-1.139133127692611
2015-05-19,-1.1397459519789241
2015-05-20,-1.140358776265237
2015-05-21,-1.14097160055155
2015-05-22,-1.141584424837863
2015-05-23,-1.1421972491241759
2015-05-24,-1.142810073410489
2015-05-25,-1.143422897696802
2015-05-26,-1.4874505512222946
2015-05-27,-1.8314782047477873
2015-05-28,-2.17550585827328
2015-05-29,-2.5195335117987723
2015-05-30,-2.863561165324265
2015-05-31,-3.2075888188497577
2015-06-01,-3.5516164723752506
2015-06-02,-3.895644125900743
2015-06-03,-4.119631266532159
2015-06-04,-4.343618407163575
2015-06-05,-4.567605547794991
2015-06-06,-4.791592688426407
2015-06-07,-5.015579829057824
2015-06-08,-5.23956696968924
2015-06-09,-5.463554110320656
2015-06-10,-5.687541250952072
2015-06-11,-5.246081542450558
2015-06-12,-4.804621833949042
2015-06-13,-4.363162125447528
2015-06-14,-3.9217024169460135
2015-06-15,-3.4802427084444987
2015-06-16,-3.038782999942984
2015-06-17,-2.5973232914414695
2015-06-18,-2.1558635829399546
2015-06-19,-2.4732263593404453
2015-06-20,-2.7905891357409365
2015-06-21,-3.107951912141427
2015-06-22,-3.425314688541918
2015-06-23,-3.742677464942409
2015-06-24,-4.0600402413429
2015-06-25,-4.377403017743391
2015-06-26,-4.694765794143882
2015-06-27,-4.723189367136484
2015-06-28,-4.751612940129086
2015-06-29,-4.780036513121688
2015-06-30,-4.808460086114291
2015-07-01,-4.836883659106894
2015-07-02,-4.865307232099496
2015-07-03,-4.893730805092098
2015-07-04,-4.9221543780847
2015-07-05,-5.129296730278951
2015-07-06,-5.336439082473202
2015-07-07,-5.543581434667454
2015-07-08,-5.7507237868617045
2015-07-09,-5.957866139055955
2015-07-10,-6.165008491250207
2015-07-11,-6.372150843444458
2015-07-12,-6.579293195638709
2015-07-13,-6.414940103882183
2015-07-14,-6.250587012125658
2015-07-15,-6.086233920369133
2015-07-16,-5.921880828612608
2015-07-17,-5.757527736856083
2015-07-18,-5.593174645099558
2015-07-19,-5.428821553343033
2015-07-20,-5.264468461586508
2015-07-21,-5.217180758661951
2015-07-22,-5.169893055737393
2015-07-23,-5.122605352812837
2015-07-24,-5.07531764988828
2015-07-25,-5.028029946963723
2015-07-26,-4.980742244039166
2015-07-27,-4.9334545411146085
2015-07-28,-4.886166838190052
2015-07-29,-4.804341209298261
2015-07-30,-4.722515580406471
2015-07-31,-4.6406899515146804
2015-08-01,-4.55886432262289
2015-08-02,-4.477038693731099
2015-08-03,-4.395213064839308
2015-08-04,-4.313387435947518
2015-08-05,-4.231561807055727
2015-08-06,-4.234007378318534
2015-08-07,-4.23645294958134
2015-08-08,-4.238898520844145
2015-08-09,-4.241344092106952
2015-08-10,-4.243789663369759
2015-08-11,-4.2462352346325645
2015-08-12,-4.24868080589537
2015-08-13,-4.251126377158177
2015-08-14,-3.9990238112036036
2015-08-15,-3.746921245249031
2015-08-16,-3.4948186792944576
2015-08-17,-3.2427161133398847
2015-08-18,-2.9906135473853115
2015-08-19,-2.7385109814307382
2015-08-20,-2.4864084154761654
2015-08-21,-2.234305849521592
2015-08-22,-2.031011741892205
2015-08-23,-1.8277176342628172
2015-08-24,-1.62442352663343
2015-08-25,-1.4211294190040424
2015-08-26,-1.217835311374655
2015-08-27,-1.0145412037452677
2015-08-28,-0.8112470961158802
2015-08-29,-0.6079529884864927
2015-08-30,-0.8088691488489714
2015-08-31,-1.0097853092114502
2015-09-01,-1.210701469573929
2015-09-02,-1.4116176299364078
2015-09-03,-1.6125337902988865
2015-09-04,-1.8134499506613655
2015-09-05,-2.014366111023844
2015-09-06,-2.215282271386323
2015-09-07,-2.0255605795322924
2015-09-08,-1.8358388876782623
2015-09-09,-1.6461171958242318
2015-09-10,-1.4563955039702015
2015-09-11,-1.2666738121161711
2015-09-12,-1.0769521202621406
2015-09-13,-0.8872304284081103
2015-09-14,-0.69750873655408
2015-09-15,-0.287128532289123
2015-09-16,0.12325167197583398
2015-09-17,0.533631876240791
2015-09-18,0.9440120805057479
2015-09-19,1.354392284770705
2015-09-20,1.764772489035662
2015-09-21,2.175152693300619
2015-09-22,2.585532897565576
2015-09-23,2.5022414924563883
2015-09-24,2.4189500873472007
2015-09-25,2.335658682238013
2015-09-26,2.252367277128826
2015-09-27,2.1690758720196386
2015-09-28,2.085784466910451
2015-09-29,2.0024930618012635
2015-09-30,1.919201656692076
2015-10-01,2.2701270369020223
2015-10-02,2.6210524171119687
2015-10-03,2.9719777973219155
2015-10-04,3.322903177531862
2015-10-05,3.673828557741808
2015-10-06,4.024753937951755
2015-10-07,4.375679318161701
2015-10-08,4.726604698371648
2015-10-09,4.69103893838652
2015-10-10,4.655473178401392
2015-10-11,4.619907418416265
2015-10-12,4.584341658431137
2015-10-13,4.548775898446009
2015-10-14,4.513210138460882
2015-10-15,4.477644378475754
2015-10-16,4.442078618490626
2015-10-17,4.4818319998200655
2015-10-18,4.521585381149505
2015-10-19,4.561338762478943
2015-10-20,4.6010921438083825
2015-10-21,4.640845525137822
2015-10-22,4.68059890646726
2015-10-23,4.7203522877966995
2015-10-24,4.760105669126139
2015-10-25,5.088342520257124
2015-10-26,5.41657937138811
2015-10-27,5.744816222519097
2015-10-28,6.073053073650082
2015-10-29,6.401289924781068
2015-10-30,6.7295267759120545
2015-10-31,7.05776362704304
2015-11-01,7.386000478174026
2015-11-02,7.4278897840135
2015-11-03,7.469779089852974
2015-11-04,7.511668395692448
2015-11-05,7.553557701531922
2015-11-06,7.595447007371396
2015-11-07,7.63733631321087
2015-11-08,7.679225619050344
2015-11-09,7.721114924889818
2015-11-10,7.5148263297513935
2015-11-11,7.308537734612968
2015-11-12,7.1022491394745435
2015-11-13,6.895960544336118
2015-11-14,6.6896719491976935
2015-11-15,6.483383354059269
2015-11-16,6.277094758920844
2015-11-17,6.070806163782419
2015-11-18,6.500861152903755
2015-11-19,6.930916142025091
2015-11-20,7.360971131146428
2015-11-21,7.791026120267764
2015-11-22,8.2210811093891
2015-11-23,8.651136098510436
2015-11-24,9.081191087631773
2015-11-25,9.511246076753109
2015-11-26,9.3952578328997
2015-11-27,9.279269589046292
2015-11-28,9.163281345192884
2015-11-29,9.047293101339475
2015-11-30,8.931304857486067
2015-12-01,8.815316613632659
2015-12-02,8.69932836977925
2015-12-03,8.583340125925842
2015-12-04,8.269586208903466
2015-12-05,7.955832291881088
2015-12-06,7.642078374858711
2015-12-07,7.3283244578363345
2015-12-08,7.014570540813957
2015-12-09,6.70081662379158
2015-12-10,6.387062706769203
2015-12-11,6.073308789746826
2015-12-12,6.307688812047989
2015-12-13,6.54206883434915
2015-12-14,6.776448856650312
2015-12-15,7.010828878951474
2015-12-16,7.245208901252637
2015-12-17,7.4795889235537985
2015-12-18,7.71396894585496
2015-12-19,7.948348968156123
2015-12-20,8.362224485891613
2015-12-21,8.776100003627102
2015-12-22,9.189975521362593
2015-12-23,9.603851039098082
2015-12-24,10.017726556833573
2015-12-25,10.431602074569062
2015-12-26,10.845477592304551
2015-12-27,11.259353110040042
2015-12-28,11.241658269847012
2015-12-29,11.223963429653983
2015-12-30,11.206268589460953
2015-12-31,11.188573749267924
2016-01-01,11.170878909074894
2016-01-02,11.286468539011144
2016-01-03,11.402058168947395
2016-01-04,11.517647798883646
2016-01-05,11.633237428819896
2016-01-06,11.748827058756149
2016-01-07,11.8644166886924
2016-01-08,11.98000631862865
2016-01-09,12.0955959485649
2016-01-10,12.402226794757674
2016-01-11,12.708857640950447
2016-01-12,13.01548848714322
2016-01-13,13.322119333335992
2016-01-14,13.628750179528765
2016-01-15,13.935381025721538
2016-01-16,14.242011871914311
2016-01-17,14.548642718107084
2016-01-18,14.473193784365996
2016-01-19,14.397744850624907
2016-01-20,14.322295916883819
2016-01-21,14.246846983142731
2016-01-22,14.171398049401642
2016-01-23,14.095949115660554
2016-01-24,14.020500181919465
2016-01-25,13.945051248178377
2016-01-26,14.009958757090025
2016-01-27,14.074866266001672
2016-01-28,14.139773774913321
2016-01-29,14.204681283824968
2016-01-30,14.269588792736617
2016-01-31,14.334496301648265
2016-02-01,14.399403810559912
2016-02-02,14.46431131947156
2016-02-03,13.925435607265543
2016-02-04,13.386559895059525
2016-02-05,12.847684182853508
2016-02-06,12.308808470647492
2016-02-07,11.769932758441474
2016-02-08,11.231057046235456
2016-02-09,10.692181334029438
2016-02-10,10.15330562182342
2016-02-11,9.686949009494583
2016-02-12,9.220592397165747
2016-02-13,8.754235784836911
2016-02-14,8.287879172508074
2016-02-15,7.821522560179237
2016-02-16,7.3551659478504
2016-02-17,6.888809335521564
2016-02-18,6.422452723192727
2016-02-19,6.931796938544233
2016-02-20,7.44114115389574
2016-02-21,7.950485369247247
2016-02-22,8.459829584598753
2016-02-23,8.969173799950259
2016-02-24,9.478518015301766
2016-02-25,9.987862230653272
2016-02-26,10.497206446004778
2016-02-27,10.276057551952778
2016-02-28,10.054908657900778
2016-02-29,9.833759763848779
2016-03-01,9.612610869796779
2016-03-02,9.39146197574478
2016-03-03,9.17031308169278
2016-03-04,8.94916418764078
2016-03-05,8.728015293588781
2016-03-06,8.675113680905802
2016-03-07,8.622212068222822
2016-03-08,8.569310455539844
2016-03-09,8.516408842856865
2016-03-10,8.463507230173885
2016-03-11,8.410605617490907
2016-03-12,8.357704004807927
2016-03-13,8.304802392124948
2016-03-14,8.166691320138659
2016-03-15,8.02858024815237
2016-03-16,7.890469176166081
2016-03-17,7.752358104179793
2016-03-18,7.614247032193504
2016-03-19,7.476135960207214
2016-03-20,7.338024888220926
2016-03-21,7.199913816234637
2016-03-22,6.905132809436851
2016-03-23,6.610351802639066
2016-03-24,6.31557079584128
2016-03-25,6.020789789043494
2016-03-26,5.726008782245708
2016-03-27,5.431227775447923
2016-03-28,5.136446768650138
2016-03-29,4.841665761852352
2016-03-30,4.7403793324852765
2016-03-31,4.6390929031182
2016-04-01,4.537806473751125
2016-04-02,4.43652004438405
2016-04-03,4.335233615016974
2016-04-04,4.233947185649899
2016-04-05,4.132660756282823
2016-04-06,4.031374326915747
2016-04-07,3.6069187749363283
2016-04-08,3.1824632229569088
2016-04-09,2.7580076709774897
2016-04-10,2.33355211899807
2016-04-11,1.909096567018651
2016-04-12,1.484641015039232
2016-04-13,1.0601854630598124
2016-04-14,0.6357299110803933
2016-04-15,0.7642175290349584
2016-04-16,0.8927051469895235
2016-04-17,1.0211927649440886
2016-04-18,1.1496803828986537
2016-04-19,1.2781680008532188
2016-04-20,1.4066556188077841
2016-04-21,1.5351432367623492
2016-04-22,1.6636308547169143
2016-04-23,1.717614527811801
2016-04-24,1.7715982009066875
2016-04-25,1.8255818740015741
2016-04-26,1.8795655470964605
2016-04-27,1.9335492201913471
2016-04-28,1.9875328932862337
2016-04-29,2.0415165663811203
2016-04-30,2.095500239476007
2016-05-01,1.9157470654281625
2016-05-02,1.7359938913803181
2016-05-03,1.5562407173324737
2016-05-04,1.3764875432846293
2016-05-05,1.196734369236785
2016-05-06,1.0169811951889403
2016-05-07,0.8372280211410958
2016-05-08,0.6574748470932514
2016-05-09,0.5529864258089073
2016-05-10,0.44849800452456323
2016-05-11,0.3440095832402192
2016-05-12,0.23952116195587508
2016-05-13,0.13503274067153104
2016-05-14,0.030544319387186936
